Trial LumTarget LumMatch LT-LM LumComp %deviance Choice RT
360 55.4 67.1666666667 -11.7666666667 52.63 -22.0 0 0.3063407
361 53.0 68.4285714286 -15.4285714286 47.7 -30.0 1 0.17007929
362 53.0 68.4285714286 -15.4285714286 53.0 -23.0 1 0.23033116
363 55.4 67.1666666667 -11.7666666667 58.17 -13.0 1 0.25138903
364 55.4 67.1666666667 -11.7666666667 66.48 -1.0 1 0.25437288
365 51.9 63.0 -11.1 54.495 -14.0 1 0.37039568
366 48.8333333333 64.0 -15.1666666667 58.6 -8.0 1 0.22012893
367 48.8333333333 64.0 -15.1666666667 58.6 -8.0 1 0.13161444
368 53.0 68.4285714286 -15.4285714286 53.0 -23.0 1 0.3249732
369 51.9 63.0 -11.1 62.28 -1.0 1 0.17374723
370 53.0 68.4285714286 -15.4285714286 50.35 -26.0 0 0.48134182
371 48.8333333333 64.0 -15.1666666667 58.6 -8.0 1 0.12878939
372 53.0 68.4285714286 -15.4285714286 50.35 -26.0 1 0.47577224
373 53.0 68.4285714286 -15.4285714286 53.0 -23.0 1 0.35601737
